Id,Name,Team,Games,Year,Season
0,A Dijiang,China,1992 Summer,1992,Summer
1,A Lamusi,China,2012 Summer,2012,Summer
2,Gunnar Nielsen Aaby,Denmark,1920 Summer,1920,Summer
3,Edgar Lindenau Aabye,Denmark/Sweden,1900 Summer,1900,Summer
4,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
5,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
6,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
7,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
8,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
9,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
10,Per Knut Aaland,United States,1992 Winter,1992,Winter
11,Per Knut Aaland,United States,1992 Winter,1992,Winter
12,Per Knut Aaland,United States,1992 Winter,1992,Winter
13,Per Knut Aaland,United States,1992 Winter,1992,Winter
14,Per Knut Aaland,United States,1994 Winter,1994,Winter
15,Per Knut Aaland,United States,1994 Winter,1994,Winter
16,Per Knut Aaland,United States,1994 Winter,1994,Winter
17,Per Knut Aaland,United States,1994 Winter,1994,Winter
18,John Aalberg,United States,1992 Winter,1992,Winter
19,John Aalberg,United States,1992 Winter,1992,Winter
20,John Aalberg,United States,1992 Winter,1992,Winter
21,John Aalberg,United States,1992 Winter,1992,Winter
22,John Aalberg,United States,1994 Winter,1994,Winter
23,John Aalberg,United States,1994 Winter,1994,Winter
24,John Aalberg,United States,1994 Winter,1994,Winter
25,John Aalberg,United States,1994 Winter,1994,Winter
26,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
27,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
28,Antti Sami Aalto,Finland,2002 Winter,2002,Winter
29,"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)",Belgium,1928 Summer,1928,Summer
30,Jorma Ilmari Aalto,Finland,1980 Winter,1980,Winter
31,Jyri Tapani Aalto,Finland,2000 Summer,2000,Summer
32,Minna Maarit Aalto,Finland,1996 Summer,1996,Summer
33,Minna Maarit Aalto,Finland,2000 Summer,2000,Summer
34,Pirjo Hannele Aalto (Mattila-),Finland,1994 Winter,1994,Winter
35,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
36,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
37,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
38,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
39,Arvo Ossian Aaltonen,Finland,1924 Summer,1924,Summer
40,Juhamatti Tapio Aaltonen,Finland,2014 Winter,2014,Winter
41,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
42,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
43,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
44,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
45,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
46,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
47,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
48,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
49,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
50,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
51,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
52,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
53,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
54,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
55,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
56,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
57,Timo Antero Aaltonen,Finland,2000 Summer,2000,Summer
58,Win Valdemar Aaltonen,Finland,1948 Summer,1948,Summer
59,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
60,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
61,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
62,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
63,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
64,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
65,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
66,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
67,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
68,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
69,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
70,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
71,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
72,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
73,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
74,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
75,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
76,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
77,Kjetil Andr Aamodt,Norway,2006 Winter,2006,Winter
78,Kjetil Andr Aamodt,Norway,2006 Winter,2006,Winter
79,Ragnhild Margrethe Aamodt,Norway,2008 Summer,2008,Summer
80,Andreea Aanei,Romania,2016 Summer,2016,Summer
81,Fritz Aanes,Norway,2000 Summer,2000,Summer
82,Fritz Aanes,Norway,2004 Summer,2004,Summer
83,Nils Egil Aaness,Norway,1960 Winter,1960,Winter
84,Nils Egil Aaness,Norway,1960 Winter,1960,Winter
85,Nils Egil Aaness,Norway,1964 Winter,1964,Winter
86,Alf Lied Aanning,Norway,1920 Summer,1920,Summer
87,Agnes Erika Aanonsen (-Eyde),Norway,1984 Winter,1984,Winter
88,Johan Aantjes,Netherlands,1984 Summer,1984,Summer
89,Jan-Erik Aarberg,Norway,1968 Summer,1968,Summer
90,Jan-Erik Aarberg,Norway,1972 Summer,1972,Summer
91,Willemien Aardenburg,Netherlands,1988 Summer,1988,Summer
92,Pepijn Aardewijn,Netherlands,1996 Summer,1996,Summer
93,Pepijn Aardewijn,Netherlands,2000 Summer,2000,Summer
94,Evald rma (rman-),Estonia,1936 Summer,1936,Summer
95,Olav Augunson Aarnes,Norway,1912 Summer,1912,Summer
96,Mika Lauri Aarnikka,Finland,1992 Summer,1992,Summer
97,Mika Lauri Aarnikka,Finland,1996 Summer,1996,Summer
98,Jamale (Djamel-) Aarrass (Ahrass-),France,2012 Summer,2012,Summer
99,Dagfinn Sverre Aarskog,Norway,1998 Winter,1998,Winter
100,Stefan Remco Aartsen,Netherlands,1996 Summer,1996,Summer